postcode,postcode_name,centroid_lat,centroid_lon,air_t_surface_temp_c,air_t_delta_temp_at_reference_depth_c,air_t_gradient_c_per_m,air_t_ground_temp_at_reference_depth_c,surface_t_surface_temp_c,surface_t_delta_temp_at_reference_depth_c,surface_t_gradient_c_per_m,surface_t_ground_temp_at_reference_depth_c,delta_t20_ebk_prediction_se_c,nearest_borehole_km,nearby_borehole_count,nearby_radius_km,annual_heating_kwh_m2,annual_cooling_kwh_m2,certificate_count,climate_record_count,climate_represented_hours,data_notes
0800,0800,-12.4618739,130.84372852,,,,,28.25721169,,,,,62.07309,0,50.0,,,,1752,8760,Annual residential load is unavailable. No postcode zonal mean is available from the ΔT20 EBK prediction-standard-error raster.
0810,0810,-12.36978613,130.87664315,27.8831487,0.54407659,0.02720383,28.42722528,28.56753494,0.41957998,0.020979,28.98711492,0.22115885,71.21045,0,50.0,0.0,93.61111111,277,1752,8760,
0812,0812,-12.37767567,130.91449305,27.98412389,0.54389553,0.02719478,28.52801942,29.1124087,0.41906028,0.02095301,29.53146898,,69.67723,0,50.0,0.0,93.33333333,56,1752,8760,No postcode zonal mean is available from the ΔT20 EBK prediction-standard-error raster.
0820,0820,-12.41392851,130.866416,27.89071958,0.5443849,0.02721925,28.43510448,29.46278207,0.41753313,0.02087666,29.8803152,,66.63211,0,50.0,0.0,102.77777778,79,1752,8760,No postcode zonal mean is available from the ΔT20 EBK prediction-standard-error raster.
0822,0822,-12.42240128,133.16749269,27.88531761,0.59510163,0.02975508,28.48041924,28.84453102,0.62773063,0.03138653,29.47226164,0.26598033,236.10977,0,50.0,0.0,77.22222222,531,1752,8760,
0828,0828,-12.42826895,130.9395767,28.05966895,0.55413384,0.02770669,28.61380279,29.36003494,0.41647102,0.02082355,29.77650596,,63.76501,0,50.0,0.0,91.11111111,299,1752,8760,No postcode zonal mean is available from the ΔT20 EBK prediction-standard-error raster.
0829,0829,-12.44923396,131.00183856,28.08683611,0.5544835,0.02772418,28.64131961,29.15895155,0.41507964,0.02075398,29.57403119,0.20892627,61.08248,0,50.0,0.0,88.33333333,18,1752,8760,
0830,0830,-12.37083238,131.05046619,28.08532293,0.55395856,0.02769793,28.63928149,28.20446183,0.41859997,0.02093,28.62306179,0.21970551,70.00457,0,50.0,0.0,92.5,155,1752,8760,
0832,0832,-12.51270576,130.99681678,28.04369303,0.55409792,0.0277049,28.59779095,28.75454903,0.41122396,0.0205612,29.16577299,,54.02678,0,50.0,0.0,93.88888889,658,1752,8760,No postcode zonal mean is available from the ΔT20 EBK prediction-standard-error raster.
0834,0834,-12.54685732,131.02350021,28.00004627,0.55328883,0.02766444,28.5533351,28.24913509,0.409022,0.0204511,28.65815709,0.19685324,50.28536,0,50.0,0.0,95.83333333,27,1752,8760,
